agent,game,ply,player,stones,live_lines,candidate_count,candidate_orbit_count,hot_components,max_temperature,max_temperature_ties,total_temperature,thermal_entropy,top_component_share,potential_temperature_corr,threat_cells,fork_cells
random,0,0,1,0,0,1,1,0,0.0,1,0.0,0.0,0.0,nan,0,0
random,0,6,2,6,108,170,170,2,12.0,2,742.5,0.6250831389160905,0.6823529411764706,0.7513048248582803,0,0
random,0,12,1,12,204,290,290,2,20.0,1,1414.0,0.6546161740633348,0.637901277183293,0.7477270670590448,0,0
random,0,18,2,18,300,423,423,3,21.75,1,2096.0,0.832195786876655,0.6763862332695985,0.7828274042319284,0,0
random,0,24,1,24,377,495,495,3,20.0,3,2679.5,0.5106093728305283,0.8565498920803586,0.7648281303772803,0,2
random,0,30,2,30,484,634,634,1,25.0,1,3422.75,-0.0,1.0,0.777653983945454,0,2
greedy,0,0,1,0,0,1,1,0,0.0,1,0.0,0.0,0.0,nan,0,0
greedy,0,6,2,6,57,92,92,1,33.75,1,418.0,-0.0,1.0,0.8569000530718371,0,2
greedy,0,12,1,12,75,123,123,1,26.25,1,647.25,-0.0,1.0,0.8934765637403509,0,3
greedy,0,18,2,18,78,141,141,1,24.25,1,633.25,-0.0,1.0,0.9058169288917443,0,4
greedy,0,24,1,24,85,154,154,1,25.0,1,678.0,-0.0,1.0,0.8326877390377189,0,8
greedy,0,30,2,30,108,169,169,1,27.0,1,815.0,-0.0,1.0,0.9072225852382554,0,4
