run,radius,k,attack_min_weight,shell,black,white,imbalance,total
r8_t18_k6_w1,8,6,1,0,1,0,1,1
r8_t18_k6_w1,8,6,1,2,1,4,-3,5
r8_t18_k6_w1,8,6,1,3,4,2,2,6
r8_t18_k6_w1,8,6,1,4,2,2,0,4
r8_t18_k6_w1,8,6,1,5,3,4,-1,7
r8_t18_k6_w1,8,6,1,6,6,6,0,12
r8_t18_k6_w1,8,6,1,7,5,6,-1,11
r8_t18_k6_w1,8,6,1,8,7,7,0,14
r8_t18_k6_w3,8,6,3,0,1,0,1,1
r8_t18_k6_w3,8,6,3,2,1,4,-3,5
r8_t18_k6_w3,8,6,3,3,6,2,4,8
r8_t18_k6_w3,8,6,3,4,6,7,-1,13
r8_t18_k6_w3,8,6,3,5,10,9,1,19
r8_t18_k6_w3,8,6,3,6,11,11,0,22
r8_t18_k6_w3,8,6,3,7,0,3,-3,3
r8_t18_k6_w5,8,6,5,0,1,0,1,1
r8_t18_k6_w5,8,6,5,1,2,0,2,2
r8_t18_k6_w5,8,6,5,2,3,7,-4,10
r8_t18_k6_w5,8,6,5,3,6,10,-4,16
r8_t18_k6_w5,8,6,5,4,9,11,-2,20
r8_t18_k6_w5,8,6,5,5,14,8,6,22
