side,strategy,games,black_wins,white_wins,no_wins,mean_completed_turns,mean_final_black_tau,mean_final_white_tau,mean_black_obligations,mean_white_obligations,mean_black_pair_atoms,mean_white_pair_atoms
white,earliest,4,4,0,0,3.5,1.0,1.25,1.5,1.75,0.0,0.0
white,min_tau,4,0,1,3,12.75,1.0,0.25,1.5,0.5,0.0,0.0
white,min_atoms,4,0,1,3,14.5,1.25,0.5,1.75,1.0,0.0,0.0
white,min_bulk,4,0,1,3,13.25,0.5,0.5,0.75,1.0,0.0,0.0
white,min_family,4,0,1,3,14.5,1.25,0.5,1.75,1.0,0.0,0.0
white,hybrid,4,0,1,3,12.75,0.5,0.25,0.75,0.5,0.0,0.0
black,attacker,6,1,5,0,5.666666666666667,1.8333333333333333,1.6666666666666667,2.8333333333333335,3.1666666666666665,0.0,0.0
black,hybrid,6,1,0,5,14.0,0.8333333333333334,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0
black,min_bulk,6,1,0,5,14.0,0.8333333333333334,0.3333333333333333,1.1666666666666667,0.5,0.0,0.0
black,min_atoms,6,1,0,5,13.833333333333334,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
