opening_id,rollouts,black_wins,white_wins,none,mean_completed_turns,mean_final_black_tau,mean_final_white_tau,max_black_tau,max_white_tau,mean_black_obligations,mean_white_obligations,max_black_obligations,max_white_obligations
O0001,16,2,0,14,4.0,1.0,0.25,3,2,1.5,0.4375,4,4
O0309,16,0,0,16,4.0,1.5,0.375,2,2,2.25,0.625,4,3
O0005,16,0,6,10,3.375,1.25,0.5,2,2,2.125,1.0,4,4
O0371,16,0,0,16,4.0,1.375,0.25,2,2,2.0,0.375,4,3
O0015,16,0,5,11,3.4375,1.125,0.3125,2,2,1.75,0.375,3,3
O0364,16,0,0,16,4.0,0.875,0.0,2,0,1.375,0.0,3,0
O0010,16,0,0,16,4.0,0.75,0.125,2,1,1.25,0.125,4,1
O0249,16,0,2,14,4.0,0.875,0.125,2,2,1.25,0.25,3,3
O0028,16,0,0,16,4.0,0.875,0.125,2,2,1.125,0.25,3,4
O0302,16,0,0,16,4.0,0.875,0.0,2,0,1.125,0.0,4,0
O0349,16,0,0,16,4.0,0.625,0.0,2,0,1.0,0.0,4,0
O0357,16,0,0,16,4.0,0.5,0.0,2,0,1.0,0.0,4,0
O0363,16,0,0,16,4.0,0.625,0.25,1,1,0.875,0.5,2,2
O0016,16,0,2,14,3.75,0.5625,0.125,2,2,0.8125,0.25,3,3
O0167,16,0,0,16,4.0,0.625,0.0,2,0,0.75,0.0,3,0
O0007,16,0,0,16,4.0,0.375,0.25,2,2,0.5,0.375,3,3
O0301,16,0,0,16,4.0,0.375,0.0,2,1,0.5,0.0,4,2
O0359,16,0,0,16,4.0,0.3125,0.0625,2,2,0.5,0.0625,3,3
O0002,16,0,1,15,4.0,0.3125,0.3125,2,2,0.4375,0.5,3,3
O0324,16,0,1,15,3.9375,0.3125,0.125,2,2,0.375,0.1875,4,3
O0031,16,0,0,16,4.0,0.375,0.0,1,1,0.375,0.0,2,1
O0119,16,0,0,16,4.0,0.3125,0.0,2,1,0.375,0.0,4,2
O0153,16,0,0,16,4.0,0.375,0.0,2,0,0.375,0.0,4,0
O0370,16,0,0,16,4.0,0.125,0.0,2,0,0.25,0.0,3,0
O0131,16,0,0,16,4.0,0.25,0.0,2,1,0.25,0.0,4,1
O0316,16,0,1,15,3.9375,0.125,0.125,2,2,0.1875,0.1875,4,3
O0009,16,0,1,15,4.0,0.0625,0.125,1,2,0.125,0.25,2,4
O0023,16,0,1,15,4.0,0.0625,0.125,2,2,0.125,0.25,4,4
O0122,16,0,0,16,4.0,0.125,0.0,1,1,0.125,0.0,1,2
