black_strategy,white_strategy,winner,terminal_turn,completed_turns,black_stones,white_stones,final_black_tau,final_white_tau,final_black_obligations,final_white_obligations,final_black_pair_atoms,final_white_pair_atoms,final_black_bulk_pressure,final_white_bulk_pressure,final_black_family_max,final_white_family_max,first_black_tau_gt2,first_white_tau_gt2,max_black_obligations,max_white_obligations,max_black_pair_atoms,max_white_pair_atoms
attacker,earliest,black,2,3,7,6,1,2,2,3,0,0,1039.0,39.6,2,3,,,2,3,0,0
attacker,min_tau,white,2,3,5,6,2,1,3,2,0,0,38.6,1038.4,3,2,,,3,2,0,0
attacker,min_atoms,white,9,10,19,20,2,2,3,4,0,0,67.4,1085.0,3,4,,,3,4,0,0
attacker,min_bulk,white,4,5,9,10,2,2,3,4,0,0,41.4,1078.2,3,4,,,3,4,0,0
attacker,min_family,white,9,10,19,20,2,2,3,4,0,0,67.4,1085.0,3,4,,,3,4,0,0
attacker,hybrid,white,2,3,5,6,2,1,3,2,0,0,38.6,1038.4,3,2,,,3,2,0,0
hybrid,earliest,black,3,4,9,8,1,1,1,1,0,0,1034.0,36.8,1,1,,,2,1,0,0
hybrid,min_tau,none,,16,33,32,2,0,3,0,0,0,61.6,5.6,3,0,,,4,0,0,0
hybrid,min_atoms,none,,16,33,32,1,0,1,0,0,0,16.4,2.6,1,0,,,4,0,0,0
hybrid,min_bulk,none,,16,33,32,0,0,0,0,0,0,3.2,0.4,0,0,,,0,0,0,0
hybrid,min_family,none,,16,33,32,1,0,1,0,0,0,16.4,2.6,1,0,,,4,0,0,0
hybrid,hybrid,none,,16,33,32,0,0,0,0,0,0,0.2,0.0,0,0,,,3,0,0,0
min_bulk,earliest,black,3,4,9,8,1,2,1,3,0,0,1031.8,46.0,1,3,,,2,3,0,0
min_bulk,min_tau,none,,16,33,32,0,0,0,0,0,0,3.6,0.0,0,0,,,3,0,0,0
min_bulk,min_atoms,none,,16,33,32,2,0,3,0,0,0,27.4,3.2,3,0,,,4,0,0,0
min_bulk,min_bulk,none,,16,33,32,0,0,0,0,0,0,0.2,0.2,0,0,,,0,0,0,0
min_bulk,min_family,none,,16,33,32,2,0,3,0,0,0,27.4,3.2,3,0,,,4,0,0,0
min_bulk,hybrid,none,,16,33,32,0,0,0,0,0,0,0.8,0.0,0,0,,,3,0,0,0
min_atoms,earliest,black,2,3,7,6,1,0,2,0,0,0,1039.2,20.4,2,0,,,2,0,0,0
min_atoms,min_tau,none,,16,33,32,0,0,0,0,0,0,1.4,2.4,0,0,,,3,0,0,0
min_atoms,min_atoms,none,,16,33,32,0,0,0,0,0,0,1.6,0.4,0,0,,,1,0,0,0
min_atoms,min_bulk,none,,16,33,32,0,0,0,0,0,0,0.0,1.6,0,0,,,1,0,0,0
min_atoms,min_family,none,,16,33,32,0,0,0,0,0,0,1.6,0.4,0,0,,,1,0,0,0
min_atoms,hybrid,none,,16,33,32,0,0,0,0,0,0,5.2,1.0,0,0,,,0,0,0,0
