black_strategy,white_strategy,turn,white_move,black_move,winner,black_stones,white_stones,black_tau,white_tau,black_obligations,white_obligations,black_pair_atoms,white_pair_atoms,black_bulk_pressure,white_bulk_pressure,black_family_max,white_family_max,value_after_white,value_after_black
attacker,min_tau,0,"[[1, 0], [1, -1]]","[[0, -1], [0, 1]]",,3,2,0,0,0,0,0,0,16.4,5.0,0,0,0,-12.299999999999999
attacker,min_tau,1,"[[1, -2], [1, 1]]","[[0, -2], [1, -3]]",,5,4,2,1,3,1,0,0,35.599999999999994,11.8,3,1,-800,-14876.7
attacker,min_tau,2,"[[1, 2], [1, 3]]",[],white,5,6,2,1,3,1,0,0,35.599999999999994,1027.8,3,1,-1000000000.0,
attacker,hybrid,0,"[[1, 0], [1, -1]]","[[0, -1], [0, 1]]",,3,2,0,0,0,0,0,0,16.4,5.0,0,0,-0.6800000000000004,-12.299999999999999
attacker,hybrid,1,"[[1, -2], [1, 1]]","[[0, -2], [1, -3]]",,5,4,2,1,3,1,0,0,35.599999999999994,11.8,3,1,-3999.6600000000003,-14876.7
attacker,hybrid,2,"[[1, 2], [1, 3]]",[],white,5,6,2,1,3,1,0,0,35.599999999999994,1027.8,3,1,-1000000000.0,
min_bulk,min_tau,0,"[[1, 0], [1, -1]]","[[0, 1], [1, 1]]",,3,2,0,0,0,0,0,0,10.6,2.0,0,0,0,-1.7099999999999995
min_bulk,min_tau,1,"[[0, -1], [-1, 1]]","[[0, 2], [3, -1]]",,5,4,0,0,0,0,0,0,14.599999999999998,5.000000000000001,0,0,0,-0.10999999999999766
min_bulk,min_tau,2,"[[2, 0], [-1, -1]]","[[-1, 0], [-2, -1]]",,7,6,0,0,0,0,0,0,6.600000000000002,2.6000000000000005,0,0,0,0.29000000000000004
min_bulk,min_tau,3,"[[-2, 0], [-2, 2]]","[[0, 3], [0, 4]]",,9,8,1,0,1,0,0,0,28.19999999999999,6.800000000000001,1,0,0,-3.069999999999995
min_bulk,min_tau,4,"[[0, -2], [0, 5]]","[[1, -3], [-5, 3]]",,11,10,0,0,0,0,0,0,4.800000000000001,3.000000000000001,0,0,0,1.3200000000000007
min_bulk,min_tau,5,"[[-2, 3], [-2, 4]]","[[2, 1], [-2, 5]]",,13,12,0,0,0,0,0,0,7.400000000000002,1.2,0,0,-400,-1.3900000000000008
min_bulk,min_tau,6,"[[3, 0], [3, -2]]","[[0, -3], [-1, -2]]",,15,14,0,0,0,0,0,0,12.6,1.4,0,0,0,-3.0099999999999993
min_bulk,min_tau,7,"[[3, -3], [2, -3]]","[[-3, 0], [1, -4]]",,17,16,2,0,3,0,0,0,59.6,2.2,3,0,0,-18.66
min_bulk,hybrid,0,"[[1, 0], [1, -1]]","[[0, 1], [1, 1]]",,3,2,0,0,0,0,0,0,10.6,2.0,0,0,-0.6800000000000004,-1.7099999999999995
min_bulk,hybrid,1,"[[0, -1], [-2, 1]]","[[-1, 0], [-1, -1]]",,5,4,0,0,0,0,0,0,9.000000000000002,2.8000000000000003,0,0,-0.7599999999999998,-0.3500000000000001
min_bulk,hybrid,2,"[[-1, 1], [-2, 0]]","[[-2, 2], [0, 2]]",,7,6,0,0,0,0,0,0,11.0,2.0,0,0,-0.39000000000000024,-1.8499999999999996
min_bulk,hybrid,3,"[[2, 0], [-1, 2]]","[[0, 3], [0, 4]]",,9,8,1,0,1,0,0,0,26.999999999999993,2.8000000000000003,1,0,0.79,-6.649999999999997
min_bulk,hybrid,4,"[[2, -1], [0, 5]]","[[2, 1], [4, -1]]",,11,10,0,0,0,0,0,0,8.799999999999997,2.4,0,0,-0.7800000000000002,-0.6799999999999988
min_bulk,hybrid,5,"[[3, 0], [-3, 3]]","[[2, -2], [1, -2]]",,13,12,0,0,0,0,0,0,5.200000000000001,1.5999999999999999,0,0,-0.18000000000000016,-0.22000000000000042
min_bulk,hybrid,6,"[[3, -2], [-3, -2]]","[[3, -3], [-3, 0]]",,15,14,0,0,0,0,0,0,2.4,0.6000000000000001,0,0,-0.45999999999999996,-0.23999999999999988
min_bulk,hybrid,7,"[[0, -3], [4, 0]]","[[-4, 4], [-3, 4]]",,17,16,0,0,0,0,0,0,6.4,0.6000000000000001,0,0,0.06,-1.6399999999999997
